-0.015,0.159,0.981
-0.003,0.157,0.977
0.001,0.154,0.986
0.014,0.156,1.023
0.018,0.154,1.027
0.011,0.145,1.011
0.005,0.141,1
0.009,0.139,0.986
-0.006,0.129,0.973
0.001,0.126,0.999
0.013,0.132,1.035
0.017,0.132,1.035
0.017,0.138,1.031
0.01,0.139,1.021
0.014,0.145,1.019
0.02,0.151,1.026
0.03,0.157,1.032
0.029,0.161,1.036
0.038,0.172,1.053
0.049,0.178,1.053
0.045,0.171,1.038
0.04,0.166,1.013
0.04,0.166,1.013
0.035,0.164,0.985
0.034,0.172,0.978
0.028,0.18,0.986
0.027,0.187,1.01
0.035,0.183,1.023
0.025,0.164,1.017
0.019,0.158,1.001
0.022,0.165,0.976
0.026,0.172,0.94
0.029,0.187,0.937
0.023,0.204,0.956
0.029,0.227,0.97
0.018,0.231,0.976
0.001,0.214,0.957
0.003,0.201,0.947
0.008,0.186,0.946
0.008,0.161,0.951
0.03,0.125,0.986
0.049,0.129,1.009
0.061,0.135,1.025
0.063,0.138,1.036
0.044,0.131,1.031
0,0.09,1.021
-0.002,0.089,1
-0.006,0.099,0.98
-0.018,0.105,0.99
-0.027,0.107,1.007
-0.021,0.117,1.032
-0.003,0.132,1.059
0.008,0.139,1.037
0.03,0.142,1.001
0.058,0.141,0.993
0.076,0.139,1.005
0.072,0.118,0.998
0.077,0.117,1.018
0.086,0.122,1.043
0.09,0.134,1.045
0.089,0.153,1.032
0.099,0.179,1.014
0.098,0.18,0.997
0.096,0.165,0.989
0.093,0.143,0.974
0.077,0.124,1.007
0.061,0.124,0.996
0.007,0.145,0.98
-0.063,0.174,0.976
-0.045,0.224,1.008
0.002,0.239,1.011
0.052,0.228,1.014
0.076,0.215,1.033
0.079,0.203,1.037
0.083,0.194,1.023
0.084,0.198,1.018
0.073,0.202,1.005
0.054,0.202,0.992
0.033,0.202,0.985
0.023,0.2,0.981
0.021,0.206,0.974
0.019,0.215,0.979
0.03,0.228,0.998
0.039,0.233,0.996
0.053,0.23,0.997
0.077,0.228,0.979
0.106,0.236,0.937
0.131,0.258,0.899
0.138,0.27,0.871
0.122,0.262,0.889
0.11,0.252,0.932
0.113,0.251,0.967
0.112,0.258,1.001
0.103,0.267,1.015
0.086,0.26,1.02
0.068,0.25,1.012
0.061,0.241,1.007
0.06,0.234,0.997
0.056,0.227,0.986
0.056,0.221,0.987
0.051,0.19,0.974
0.042,0.211,0.974
0.033,0.195,0.961
0.022,0.164,0.974
0.045,0.166,0.987
0.056,0.175,0.988
0.061,0.176,0.976
0.066,0.161,0.957
0.061,0.154,0.944
0.061,0.176,0.951
0.065,0.203,1.004
0.063,0.212,1.068
0.044,0.202,1.079
0.024,0.179,1.044
-0.003,0.152,1.016
-0.029,0.138,0.993
-0.059,0.137,0.978
-0.113,0.124,0.924
-0.163,0.094,0.814
-0.206,0.06,0.655
-0.25,0.034,0.485
-0.235,0.025,0.411
-0.156,0.042,0.562
-0.005,0.071,0.873
0.142,0.084,1.017
0.278,0.088,1.328
0.365,0.068,1.513
0.358,-0.004,1.527
0.203,-0.051,1.44
0.016,-0.031,1.366
-0.009,0.001,1.328
0.023,0.014,1.302
0.057,0.024,1.303
0.065,0.03,1.299
0.047,0.027,1.319
0.021,0.003,1.332
0.03,-0.019,1.346
0.035,-0.022,1.309
0.064,-0.015,1.32
0.097,-0.016,1.438
0.12,-0.03,1.613
0.146,-0.041,1.751
0.157,-0.054,1.813
0.135,-0.087,1.838
0.116,-0.122,1.915
0.089,-0.171,1.988
0.041,-0.226,1.986
-0.053,-0.303,1.83
-0.108,-0.351,1.656
-0.009,-0.313,1.496
0.157,-0.217,1.246
0.247,-0.182,0.919
0.235,-0.195,0.69
0.032,-0.248,0.562
-0.028,-0.253,0.631
-0.052,-0.268,0.754
-0.056,-0.331,0.811
-0.048,-0.422,0.803
-0.057,-0.539,0.683
-0.061,-0.664,0.471
-0.059,-0.807,0.203
-0.059,-0.937,-0.132
-0.057,-1.016,-0.484
-0.054,-1.016,-0.821
-0.026,-0.969,-1.084
0.044,-0.908,-1.218
0.152,-0.856,-1.251
0.276,-0.84,-1.262
0.396,-0.835,-1.379
0.424,-0.834,-1.588
0.368,-0.84,-1.874
0.241,-0.911,-2.467
0.209,-0.9,-2.991
0.189,-0.807,-2.974
0.262,-0.75,-2.884
0.297,-0.671,-2.658
0.321,-0.598,-2.359
0.321,-0.598,-2.359
0.313,-0.526,-2.146
0.335,-0.427,-2.054
0.416,-0.323,-2.084
0.55,-0.235,-2.155
0.695,-0.188,-2.183
0.802,-0.182,-2.109
0.828,-0.218,-1.952
0.765,-0.294,-1.756
0.642,-0.385,-1.573
0.511,-0.471,-1.44
0.398,-0.57,-1.334
0.298,-0.646,-1.205
0.209,-0.666,-1.027
0.214,-0.606,-0.764
0.244,-0.561,-0.683
0.261,-0.497,-0.585
0.269,-0.42,-0.483
0.309,-0.347,-0.411
0.319,-0.358,-0.444
0.27,-0.429,-0.447
0.174,-0.522,-0.32
0.053,-0.613,-0.129
-0.072,-0.707,0.061
-0.166,-0.786,0.262
-0.241,-0.834,0.45
-0.295,-0.84,0.607
-0.331,-0.834,0.714
-0.331,-0.822,0.764
-0.287,-0.814,0.78
-0.205,-0.811,0.806
-0.111,-0.814,0.864
-0.053,-0.83,0.926
-0.048,-0.872,0.993
-0.084,-0.939,1.106
-0.13,-1.019,1.264
-0.156,-1.062,1.473
-0.124,-1.017,1.747
-0.011,-0.907,2.049
0.087,-0.811,2.285
0.145,-0.733,2.39
0.125,-0.652,2.404
0.112,-0.581,2.378
0.111,-0.51,2.314
0.138,-0.423,2.194
0.189,-0.334,2.076
0.237,-0.272,1.919
0.275,-0.236,1.758
0.313,-0.202,1.602
0.343,-0.162,1.478
0.334,-0.132,1.359
0.368,-0.118,1.228
0.366,-0.127,1.066
0.328,-0.136,0.925
0.335,-0.117,0.799
0.344,-0.091,0.699
0.355,-0.067,0.629
0.353,-0.054,0.553
0.346,-0.043,0.539
0.335,-0.041,0.576
0.306,-0.048,0.645
0.265,-0.062,0.744
0.245,-0.075,0.877
0.235,-0.085,0.975
0.226,-0.09,1.022
0.219,-0.086,1.05
0.223,-0.071,1.066
0.205,-0.053,1.069
0.189,-0.035,1.069
0.17,-0.01,1.058
0.156,0.015,1.048
0.164,0.047,1.047
